x1,y1,z1,x2,y2,z2
-921.068,-1014.496,22.604,-921.684,-1014.177,22.328
-921.227,-1014.616,21.595,-921.728,-1014.146,22.739
-921.184,-1014.590,23.678,-921.641,-1014.628,22.203
-921.157,-1014.502,23.463,-921.681,-1014.176,22.592
-921.229,-1014.624,21.360,-921.563,-1014.356,22.324
-921.217,-1014.672,23.475,-921.508,-1014.270,21.359
-921.122,-1014.709,22.890,-921.674,-1014.553,21.350
-921.211,-1014.595,22.037,-921.737,-1014.624,22.700
-921.210,-1014.589,22.017,-921.778,-1014.526,21.556
-921.076,-1014.474,22.422,-921.465,-1014.387,22.441
-921.176,-1014.405,21.579,-921.710,-1014.630,22.508
-921.197,-1014.595,23.488,-921.677,-1014.429,21.767
-921.062,-1014.484,22.587,-921.731,-1014.646,22.546
-921.148,-1014.480,23.627,-921.651,-1014.551,22.664
-921.129,-1014.695,22.625,-921.730,-1014.521,21.735
-921.266,-1014.755,21.926,-921.662,-1014.184,22.619
-921.100,-1014.621,22.954,-921.608,-1014.478,22.538
-921.069,-1014.518,23.025,-921.593,-1014.690,21.966
-921.149,-1014.766,22.560,-921.704,-1014.374,22.777
-921.154,-1014.768,22.744,-921.728,-1014.104,22.439
-921.228,-1014.565,21.357,-921.738,-1014.761,22.159
-921.222,-1014.610,22.080,-921.561,-1014.629,22.046
-921.083,-1014.551,22.734,-921.641,-1014.290,22.636
-921.204,-1014.568,22.106,-921.526,-1014.243,21.466
-921.149,-1014.483,23.632,-921.690,-1014.108,22.427
-921.166,-1014.786,23.397,-921.724,-1014.661,22.505
-921.210,-1014.564,21.829,-921.686,-1014.801,21.941
-921.119,-1014.662,22.581,-921.736,-1014.272,22.893
-921.068,-1014.539,23.238,-921.691,-1014.801,21.940
-921.166,-1014.419,21.450,-921.742,-1014.140,22.753
-921.075,-1014.513,22.939,-921.539,-1014.245,21.746
-921.183,-1014.488,21.695,-921.636,-1014.236,22.636
-921.225,-1014.618,21.960,-921.750,-1014.561,22.723
-921.189,-1014.611,23.666,-921.629,-1014.543,22.325
-921.271,-1014.774,21.670,-921.665,-1014.207,22.184
-921.226,-1014.724,23.609,-921.686,-1014.410,22.863
-921.260,-1014.737,22.079,-921.472,-1014.279,22.431
-921.195,-1014.791,22.959,-921.619,-1014.542,22.318
-921.141,-1014.455,23.738,-921.890,-1014.418,21.536
-921.134,-1014.738,22.761,-921.613,-1014.269,22.086
-921.238,-1014.639,21.439,-921.707,-1014.237,22.708
-921.094,-1014.572,22.578,-921.789,-1014.782,22.127
-921.286,-1014.777,21.846,-921.725,-1014.161,22.267
-921.131,-1014.751,22.969,-921.698,-1014.103,22.412
-921.067,-1014.464,22.527,-921.581,-1014.661,22.050
-921.067,-1014.473,23.369,-921.609,-1014.695,22.099
-921.062,-1014.497,23.202,-921.696,-1014.372,23.024
-921.096,-1014.617,23.094,-921.680,-1014.797,21.849
-921.181,-1014.578,23.614,-921.694,-1014.765,22.065
-921.236,-1014.647,22.090,-921.619,-1014.192,22.551
-921.149,-1014.443,23.668,-921.634,-1014.747,22.010
-921.182,-1014.444,21.667,-921.744,-1014.469,21.449
-921.055,-1014.478,22.781,-921.510,-1014.291,21.600
-921.101,-1014.644,23.112,-921.361,-1014.690,22.585
-921.078,-1014.602,23.168,-921.718,-1014.650,22.478
-921.221,-1014.588,21.760,-921.628,-1014.371,22.925
-921.120,-1014.627,22.553,-921.630,-1014.755,22.002
-921.188,-1014.500,21.924,-921.781,-1014.647,22.696
-921.219,-1014.712,23.586,-921.618,-1014.743,22.008
-921.075,-1014.539,23.235,-921.674,-1014.196,22.619
-921.074,-1014.531,23.163,-921.589,-1014.664,22.058
-921.125,-1014.703,23.180,-921.575,-1014.450,22.521
-921.257,-1014.718,22.118,-921.713,-1014.652,22.486
-921.228,-1014.627,21.477,-921.688,-1014.566,22.709
-921.133,-1014.744,23.218,-921.569,-1014.466,22.291
-921.124,-1014.685,22.980,-921.735,-1014.668,22.509
-921.153,-1014.773,22.637,-921.633,-1014.741,22.075
-921.129,-1014.737,23.133,-921.625,-1014.755,21.996
-921.209,-1014.619,23.536,-921.665,-1014.198,22.650
-921.090,-1014.517,22.262,-921.728,-1014.145,22.520
-921.203,-1014.498,21.336,-921.714,-1014.776,22.055
-921.067,-1014.420,23.222,-921.621,-1014.281,22.621
-921.236,-1014.687,23.513,-921.700,-1014.632,22.438
-921.173,-1014.472,22.102,-921.619,-1014.749,21.985
-921.084,-1014.557,23.004,-921.743,-1014.500,21.367
-921.097,-1014.559,23.064,-921.582,-1014.446,22.508
-921.093,-1014.598,22.834,-921.651,-1014.601,22.240
-921.221,-1014.565,21.540,-921.754,-1014.772,22.096
-921.199,-1014.503,21.651,-921.571,-1014.646,22.080
-921.076,-1014.547,23.251,-921.619,-1014.272,22.600
-921.133,-1014.678,22.798,-921.522,-1014.345,21.986
-921.052,-1014.451,23.168,-921.711,-1014.177,22.584
-921.200,-1014.493,21.636,-921.677,-1014.765,21.875
-921.045,-1014.466,22.902,-921.850,-1014.668,22.598
-921.123,-1014.405,23.521,-921.537,-1014.280,21.847
-921.185,-1014.578,23.609,-921.746,-1014.657,22.297
-921.070,-1014.514,22.649,-921.633,-1014.236,21.992
-921.212,-1014.600,21.721,-921.488,-1014.272,22.404
-921.163,-1014.422,21.463,-921.627,-1014.225,22.620
-921.087,-1014.521,22.465,-921.517,-1014.304,21.605
-921.160,-1014.418,21.804,-921.604,-1014.235,22.269
-921.103,-1014.404,23.329,-921.634,-1014.588,22.210
-921.241,-1014.673,22.046,-921.639,-1014.294,22.646
-921.241,-1014.667,21.931,-921.696,-1014.616,22.604
-921.046,-1014.453,23.292,-921.679,-1014.605,22.577
-921.142,-1014.434,23.583,-921.649,-1014.308,22.675
-921.227,-1014.684,22.000,-921.687,-1014.598,22.573
-921.090,-1014.528,22.535,-921.697,-1014.265,22.764
-921.114,-1014.633,23.207,-921.615,-1014.286,22.361
-921.094,-1014.612,23.045,-921.801,-1014.799,21.997
-921.201,-1014.739,23.423,-921.763,-1014.482,21.562
-921.099,-1014.614,22.869,-921.633,-1014.249,22.506
-921.136,-1014.438,23.705,-921.563,-1014.261,22.033
-921.196,-1014.516,21.855,-921.673,-1014.797,21.899
